"","replicate","analysis","mean"
"1",1,"OO",0.200575765232144
"2",2,"OO",0.206722164954816
"3",3,"OO",0.202597652705593
"4",4,"OO",0.206323574944323
"5",5,"OO",0.206495305626856
"6",6,"OO",0.20220696032356
"7",7,"OO",0.20389690453927
"8",8,"OO",0.207956396102898
"9",9,"OO",0.209139645887405
"10",10,"OO",0.202433601237827
"11",1,"OO_lagged1",0.19998450168665
"12",1,"OO_lagged2",0.198562148914988
"13",1,"OO_lagged3",0.199115429389846
"14",1,"OO_lagged4",0.197917168256033
"15",1,"OO_lagged5",0.197822320159783
"16",1,"OO_lagged6",0.195810704890227
"17",1,"OO_lagged7",0.195130519737779
"18",1,"OO_lagged8",0.193960836104821
"19",1,"OO_lagged14",0.188065093295978
"20",1,"OO_lagged30",0.188271279538314
"21",2,"OO_lagged1",0.206167628671983
"22",2,"OO_lagged2",0.205507256154955
"23",2,"OO_lagged3",0.204769918601989
"24",2,"OO_lagged4",0.203697547590422
"25",2,"OO_lagged5",0.204896866882253
"26",2,"OO_lagged6",0.20564914877833
"27",2,"OO_lagged7",0.204053320303233
"28",2,"OO_lagged8",0.203583701425024
"29",2,"OO_lagged14",0.197796119738243
"30",2,"OO_lagged30",0.191725166800511
"31",3,"OO_lagged1",0.203981815162114
"32",3,"OO_lagged2",0.202050871653406
"33",3,"OO_lagged3",0.201744760617272
"34",3,"OO_lagged4",0.200927353183032
"35",3,"OO_lagged5",0.199783352545567
"36",3,"OO_lagged6",0.19845479988755
"37",3,"OO_lagged7",0.197768219001244
"38",3,"OO_lagged8",0.197769408179908
"39",3,"OO_lagged14",0.191808826009241
"40",3,"OO_lagged30",0.194346454414929
"41",4,"OO_lagged1",0.205841169605011
"42",4,"OO_lagged2",0.204932241466129
"43",4,"OO_lagged3",0.207298651187487
"44",4,"OO_lagged4",0.207455604899066
"45",4,"OO_lagged5",0.205590653685032
"46",4,"OO_lagged6",0.205308152194468
"47",4,"OO_lagged7",0.205042825804342
"48",4,"OO_lagged8",0.205469330212666
"49",4,"OO_lagged14",0.203018932843329
"50",4,"OO_lagged30",0.193651243043241
"51",5,"OO_lagged1",0.205155755172433
"52",5,"OO_lagged2",0.203686423540759
"53",5,"OO_lagged3",0.203549392687616
"54",5,"OO_lagged4",0.202337953890054
"55",5,"OO_lagged5",0.201886858515214
"56",5,"OO_lagged6",0.201328532508769
"57",5,"OO_lagged7",0.200956375951218
"58",5,"OO_lagged8",0.201575159831106
"59",5,"OO_lagged14",0.196390985868357
"60",5,"OO_lagged30",0.189445905587652
"61",6,"OO_lagged1",0.200925805647943
"62",6,"OO_lagged2",0.199586965959467
"63",6,"OO_lagged3",0.199973014198608
"64",6,"OO_lagged4",0.200761956820793
"65",6,"OO_lagged5",0.199347774004132
"66",6,"OO_lagged6",0.199398556220323
"67",6,"OO_lagged7",0.198953847417262
"68",6,"OO_lagged8",0.198105143780356
"69",6,"OO_lagged14",0.195361488857239
"70",6,"OO_lagged30",0.19328131755409
"71",7,"OO_lagged1",0.20193352978874
"72",7,"OO_lagged2",0.201609115036143
"73",7,"OO_lagged3",0.201233662147801
"74",7,"OO_lagged4",0.201370829883893
"75",7,"OO_lagged5",0.201030114695588
"76",7,"OO_lagged6",0.199988139055669
"77",7,"OO_lagged7",0.200437936364515
"78",7,"OO_lagged8",0.199128250425414
"79",7,"OO_lagged14",0.198358502768635
"80",7,"OO_lagged30",0.192881609841215
"81",8,"OO_lagged1",0.205689098025235
"82",8,"OO_lagged2",0.2053297674726
"83",8,"OO_lagged3",0.205811255761744
"84",8,"OO_lagged4",0.204625791359121
"85",8,"OO_lagged5",0.202998269193806
"86",8,"OO_lagged6",0.201359667493422
"87",8,"OO_lagged7",0.201819414762487
"88",8,"OO_lagged8",0.200674812822632
"89",8,"OO_lagged14",0.195596666743345
"90",8,"OO_lagged30",0.193070122279813
"91",9,"OO_lagged1",0.209361998303573
"92",9,"OO_lagged2",0.209077842620636
"93",9,"OO_lagged3",0.208515707488796
"94",9,"OO_lagged4",0.208016590598873
"95",9,"OO_lagged5",0.207605915913368
"96",9,"OO_lagged6",0.208726427801658
"97",9,"OO_lagged7",0.20751817090315
"98",9,"OO_lagged8",0.206244240297544
"99",9,"OO_lagged14",0.204868183628376
"100",9,"OO_lagged30",0.195669892167485
"101",10,"OO_lagged1",0.202508860210493
"102",10,"OO_lagged2",0.201595196236327
"103",10,"OO_lagged3",0.200913981477767
"104",10,"OO_lagged4",0.199850573381007
"105",10,"OO_lagged5",0.198724541293163
"106",10,"OO_lagged6",0.200607973747405
"107",10,"OO_lagged7",0.198879267463993
"108",10,"OO_lagged8",0.199857370432874
"109",10,"OO_lagged14",0.19523524578075
"110",10,"OO_lagged30",0.187845416105177
"1010",1,"LOOSST",0.258211266873848
"114",1,"LOOSST_both",0.325319580823895
"126",1,"LOOSST_SD",0.290050243133839
"132",1,"LOOCHLA",0.215468147409303
"144",1,"LOOEKE",0.185821529548231
"156",1,"LOOywind",0.239291770669479
"162",1,"LOOSLA",0.0289168938937417
"174",1,"LOOSLA_both",-0.0388442070971572
"186",1,"LOOSLA_SD",0.0211158701541249
"192",2,"LOOSST",0.255736112474936
"204",2,"LOOSST_both",0.325168697666088
"216",2,"LOOSST_SD",0.295776725322467
"222",2,"LOOCHLA",0.219888130685568
"234",2,"LOOEKE",0.193248678287581
"246",2,"LOOywind",0.247083604794475
"252",2,"LOOSLA",0.029764528666885
"264",2,"LOOSLA_both",-0.0349930456626479
"276",2,"LOOSLA_SD",0.0262317077292676
"282",3,"LOOSST",0.256527192708365
"294",3,"LOOSST_both",0.323862122541152
"306",3,"LOOSST_SD",0.2918384019779
"312",3,"LOOCHLA",0.219011565287012
"324",3,"LOOEKE",0.188026351150101
"336",3,"LOOywind",0.243300232713955
"342",3,"LOOSLA",0.0277704554795654
"351",3,"LOOSLA_both",-0.0362174289697297
"361",3,"LOOSLA_SD",0.0267837985388715
"371",4,"LOOSST",0.256390285469749
"381",4,"LOOSST_both",0.321215419605412
"391",4,"LOOSST_SD",0.292565379151879
"401",4,"LOOCHLA",0.220016221217086
"411",4,"LOOEKE",0.192467918835461
"421",4,"LOOywind",0.244220648162006
"431",4,"LOOSLA",0.0345910517278596
"441",4,"LOOSLA_both",-0.0377309301456732
"451",4,"LOOSLA_SD",0.0286769412070997
"461",5,"LOOSST",0.256724176917018
"471",5,"LOOSST_both",0.324632339378964
"481",5,"LOOSST_SD",0.29609811706708
"491",5,"LOOCHLA",0.21843000257438
"501",5,"LOOEKE",0.193138640712554
"511",5,"LOOywind",0.247467816025896
"521",5,"LOOSLA",0.0341164044285119
"531",5,"LOOSLA_both",-0.0383118111222549
"541",5,"LOOSLA_SD",0.0236724344281339
"551",6,"LOOSST",0.256206923369568
"561",6,"LOOSST_both",0.323486967315947
"571",6,"LOOSST_SD",0.291863167840212
"581",6,"LOOCHLA",0.218500230106158
"591",6,"LOOEKE",0.18736698627711
"601",6,"LOOywind",0.243150730837878
"611",6,"LOOSLA",0.0299820978740243
"621",6,"LOOSLA_both",-0.0426217698626015
"631",6,"LOOSLA_SD",0.0231514784372342
"641",7,"LOOSST",0.255590842025615
"651",7,"LOOSST_both",0.323107761814221
"661",7,"LOOSST_SD",0.292432055798546
"671",7,"LOOCHLA",0.221854858801864
"681",7,"LOOEKE",0.18876935919661
"691",7,"LOOywind",0.241346366155528
"701",7,"LOOSLA",0.0283519022080692
"711",7,"LOOSLA_both",-0.041022363993183
"721",7,"LOOSLA_SD",0.0244632076575496
"731",8,"LOOSST",0.263732035562066
"741",8,"LOOSST_both",0.329316134373604
"751",8,"LOOSST_SD",0.296274692873181
"761",8,"LOOCHLA",0.223437458397957
"771",8,"LOOEKE",0.194152434236382
"781",8,"LOOywind",0.246884744856847
"791",8,"LOOSLA",0.0336318516131949
"801",8,"LOOSLA_both",-0.0399485604724075
"811",8,"LOOSLA_SD",0.0239527273983687
"821",9,"LOOSST",0.25997373512016
"831",9,"LOOSST_both",0.327080918361052
"841",9,"LOOSST_SD",0.296565301544965
"851",9,"LOOCHLA",0.222109567654805
"861",9,"LOOEKE",0.195476731763544
"871",9,"LOOywind",0.249107393428584
"881",9,"LOOSLA",0.0320593437199849
"891",9,"LOOSLA_both",-0.0337327503830886
"901",9,"LOOSLA_SD",0.0296238292865574
"911",10,"LOOSST",0.255821927847939
"921",10,"LOOSST_both",0.323178094260345
"931",10,"LOOSST_SD",0.292542130204653
"941",10,"LOOCHLA",0.217234473120745
"951",10,"LOOEKE",0.188976598647177
"961",10,"LOOywind",0.243861749500205
"971",10,"LOOSLA",0.0258424219176118
"981",10,"LOOSLA_both",-0.0400668188631526
"991",10,"LOOSLA_SD",0.023341545923097
"372",1,"lagged_SST_1",0.200035171201629
"382",1,"lagged_CHLA_1",0.200360908461153
"392",1,"lagged_EKE_1",0.200096259011986
"402",1,"lagged_ywind_1",0.199042171824898
"412",1,"lagged_SLA_1",0.19999357049535
"432",1,"lagged_SST_7",0.196976773735309
"442",1,"lagged_CHLA_7",0.19792287858
"452",1,"lagged_EKE_7",0.20032796269211
"462",1,"lagged_ywind_7",0.198453650952786
"472",1,"lagged_SLA_7",0.199853721470794
"492",1,"lagged_SST_14",0.191870741634017
"502",1,"lagged_CHLA_14",0.196279292066584
"512",1,"lagged_EKE_14",0.200048528864359
"522",1,"lagged_ywind_14",0.199000471090636
"532",1,"lagged_SLA_14",0.199165993674649
"552",1,"lagged_SST_21",0.190962161287113
"562",1,"lagged_CHLA_21",0.195384320811345
"572",1,"lagged_EKE_21",0.199449860083248
"582",1,"lagged_ywind_21",0.199724409629288
"592",1,"lagged_SLA_21",0.198267055464457
"612",1,"lagged_SST_28",0.190257876632079
"622",1,"lagged_CHLA_28",0.194872431111831
"632",1,"lagged_EKE_28",0.199527510823936
"642",1,"lagged_ywind_28",0.199397235273644
"652",1,"lagged_SLA_28",0.198923202173158
"672",2,"lagged_SST_1",0.206331134635819
"682",2,"lagged_CHLA_1",0.206223304252238
"692",2,"lagged_EKE_1",0.206415999077874
"702",2,"lagged_ywind_1",0.206100927791428
"712",2,"lagged_SLA_1",0.206408990399748
"732",2,"lagged_SST_7",0.201409906744636
"742",2,"lagged_CHLA_7",0.206094662478681
"752",2,"lagged_EKE_7",0.206609287511246
"762",2,"lagged_ywind_7",0.206302847631472
"772",2,"lagged_SLA_7",0.206344465112705
"792",2,"lagged_SST_14",0.197647070670013
"802",2,"lagged_CHLA_14",0.206194836369738
"812",2,"lagged_EKE_14",0.206275868166214
"822",2,"lagged_ywind_14",0.206094977933712
"832",2,"lagged_SLA_14",0.206819643462736
"852",2,"lagged_SST_21",0.194506278074568
"862",2,"lagged_CHLA_21",0.204105295911515
"872",2,"lagged_EKE_21",0.205880207967978
"882",2,"lagged_ywind_21",0.205915468312862
"892",2,"lagged_SLA_21",0.204243807830854
"912",2,"lagged_SST_28",0.193810747722512
"922",2,"lagged_CHLA_28",0.203288556520211
"932",2,"lagged_EKE_28",0.205733503006701
"942",2,"lagged_ywind_28",0.206230955770785
"952",2,"lagged_SLA_28",0.203557199436372
"972",3,"lagged_SST_1",0.202837605320084
"982",3,"lagged_CHLA_1",0.202441520443529
"992",3,"lagged_EKE_1",0.202254948374132
"1001",3,"lagged_ywind_1",0.203005741827858
"1011",3,"lagged_SLA_1",0.202736688824625
"1031",3,"lagged_SST_7",0.199349209988725
"1041",3,"lagged_CHLA_7",0.200600779826575
"1051",3,"lagged_EKE_7",0.202424152919987
"1061",3,"lagged_ywind_7",0.202108412413771
"1071",3,"lagged_SLA_7",0.20266030084895
"1091",3,"lagged_SST_14",0.194672391251578
"1101",3,"lagged_CHLA_14",0.200309993294507
"111",3,"lagged_EKE_14",0.201752545780106
"112",3,"lagged_ywind_14",0.202193765471292
"113",3,"lagged_SLA_14",0.20258888058541
"115",3,"lagged_SST_21",0.193208870298108
"116",3,"lagged_CHLA_21",0.199695869143078
"117",3,"lagged_EKE_21",0.201629509271478
"118",3,"lagged_ywind_21",0.202241314474235
"119",3,"lagged_SLA_21",0.200785916214199
"121",3,"lagged_SST_28",0.190307770705568
"122",3,"lagged_CHLA_28",0.199013708595476
"123",3,"lagged_EKE_28",0.201426903057838
"124",3,"lagged_ywind_28",0.202441744587429
"125",3,"lagged_SLA_28",0.20194182829101
"127",4,"lagged_SST_1",0.20497540902622
"128",4,"lagged_CHLA_1",0.206268893214128
"129",4,"lagged_EKE_1",0.205566257306249
"130",4,"lagged_ywind_1",0.206665065022685
"131",4,"lagged_SLA_1",0.205796123245829
"133",4,"lagged_SST_7",0.202491395917055
"134",4,"lagged_CHLA_7",0.205028947658355
"135",4,"lagged_EKE_7",0.205409825168397
"136",4,"lagged_ywind_7",0.205448205968632
"137",4,"lagged_SLA_7",0.205329956904358
"139",4,"lagged_SST_14",0.197928128294347
"140",4,"lagged_CHLA_14",0.204672972802363
"141",4,"lagged_EKE_14",0.204592297592705
"142",4,"lagged_ywind_14",0.205526622457615
"143",4,"lagged_SLA_14",0.205122200327833
"145",4,"lagged_SST_21",0.196100288526201
"146",4,"lagged_CHLA_21",0.204681621491794
"147",4,"lagged_EKE_21",0.204355494589327
"148",4,"lagged_ywind_21",0.20548888216345
"149",4,"lagged_SLA_21",0.204299342134204
"151",4,"lagged_SST_28",0.194010243566264
"152",4,"lagged_CHLA_28",0.203021157835301
"153",4,"lagged_EKE_28",0.204854530099303
"154",4,"lagged_ywind_28",0.205513936350561
"155",4,"lagged_SLA_28",0.203838268354327
"157",5,"lagged_SST_1",0.205531247869634
"158",5,"lagged_CHLA_1",0.206625164159576
"159",5,"lagged_EKE_1",0.206249886364139
"160",5,"lagged_ywind_1",0.206342931801804
"161",5,"lagged_SLA_1",0.206126806754177
"163",5,"lagged_SST_7",0.20179622224698
"164",5,"lagged_CHLA_7",0.204636955564777
"165",5,"lagged_EKE_7",0.206261047964385
"166",5,"lagged_ywind_7",0.205444127870934
"167",5,"lagged_SLA_7",0.205622494210798
"169",5,"lagged_SST_14",0.198243106990406
"170",5,"lagged_CHLA_14",0.204261908847747
"171",5,"lagged_EKE_14",0.205694102313631
"172",5,"lagged_ywind_14",0.205654928023638
"173",5,"lagged_SLA_14",0.203866736113243
"175",5,"lagged_SST_21",0.196386013075203
"176",5,"lagged_CHLA_21",0.202019202990461
"177",5,"lagged_EKE_21",0.205837463238815
"178",5,"lagged_ywind_21",0.206513752260961
"179",5,"lagged_SLA_21",0.201988117399225
"181",5,"lagged_SST_28",0.194300918898558
"182",5,"lagged_CHLA_28",0.200414777516703
"183",5,"lagged_EKE_28",0.205737615161722
"184",5,"lagged_ywind_28",0.205750221736476
"185",5,"lagged_SLA_28",0.200744084725601
"187",6,"lagged_SST_1",0.201202984856139
"188",6,"lagged_CHLA_1",0.202115755794157
"189",6,"lagged_EKE_1",0.202321060638345
"190",6,"lagged_ywind_1",0.201908448141129
"191",6,"lagged_SLA_1",0.202709797886804
"193",6,"lagged_SST_7",0.198327492522192
"194",6,"lagged_CHLA_7",0.200288767335459
"195",6,"lagged_EKE_7",0.202650726624759
"196",6,"lagged_ywind_7",0.200841404177651
"197",6,"lagged_SLA_7",0.202486537138859
"199",6,"lagged_SST_14",0.194351606852251
"200",6,"lagged_CHLA_14",0.200355885984255
"201",6,"lagged_EKE_14",0.201733243359895
"202",6,"lagged_ywind_14",0.201601394526361
"203",6,"lagged_SLA_14",0.202478594081329
"205",6,"lagged_SST_21",0.192267250674703
"206",6,"lagged_CHLA_21",0.200277693649748
"207",6,"lagged_EKE_21",0.201227290607328
"208",6,"lagged_ywind_21",0.20222722873674
"209",6,"lagged_SLA_21",0.201369370318794
"211",6,"lagged_SST_28",0.190887338304591
"212",6,"lagged_CHLA_28",0.199731940502686
"213",6,"lagged_EKE_28",0.201431719069531
"214",6,"lagged_ywind_28",0.202089082141757
"215",6,"lagged_SLA_28",0.19974864485079
"217",7,"lagged_SST_1",0.202645176182361
"218",7,"lagged_CHLA_1",0.203335093796906
"219",7,"lagged_EKE_1",0.20343218151526
"220",7,"lagged_ywind_1",0.203008608704051
"221",7,"lagged_SLA_1",0.203326693446108
"223",7,"lagged_SST_7",0.198712313503795
"224",7,"lagged_CHLA_7",0.203373201667121
"225",7,"lagged_EKE_7",0.203084297243462
"226",7,"lagged_ywind_7",0.203521913884636
"227",7,"lagged_SLA_7",0.203300053884087
"229",7,"lagged_SST_14",0.19634298459328
"230",7,"lagged_CHLA_14",0.202259053268674
"231",7,"lagged_EKE_14",0.202466795177966
"232",7,"lagged_ywind_14",0.203143231997294
"233",7,"lagged_SLA_14",0.203899634424685
"235",7,"lagged_SST_21",0.192916813823852
"236",7,"lagged_CHLA_21",0.200561195372908
"237",7,"lagged_EKE_21",0.202448303721725
"238",7,"lagged_ywind_21",0.201949286368823
"239",7,"lagged_SLA_21",0.201386517534449
"241",7,"lagged_SST_28",0.191043771435781
"242",7,"lagged_CHLA_28",0.200011341122377
"243",7,"lagged_EKE_28",0.202641692237112
"244",7,"lagged_ywind_28",0.202963504155838
"245",7,"lagged_SLA_28",0.200897148932615
"247",8,"lagged_SST_1",0.207118365760417
"248",8,"lagged_CHLA_1",0.207783062542557
"249",8,"lagged_EKE_1",0.207655183733254
"250",8,"lagged_ywind_1",0.206832845674959
"251",8,"lagged_SLA_1",0.207780578495902
"253",8,"lagged_SST_7",0.204021908799475
"254",8,"lagged_CHLA_7",0.205917294117919
"255",8,"lagged_EKE_7",0.207617828759401
"256",8,"lagged_ywind_7",0.205927951792778
"257",8,"lagged_SLA_7",0.206961261652626
"259",8,"lagged_SST_14",0.199003076378129
"260",8,"lagged_CHLA_14",0.204495644420702
"261",8,"lagged_EKE_14",0.207141362530401
"262",8,"lagged_ywind_14",0.205883297582179
"263",8,"lagged_SLA_14",0.206147111732205
"265",8,"lagged_SST_21",0.198122606704947
"266",8,"lagged_CHLA_21",0.202061787217314
"267",8,"lagged_EKE_21",0.20710808875974
"268",8,"lagged_ywind_21",0.205972864974771
"269",8,"lagged_SLA_21",0.205764280755167
"271",8,"lagged_SST_28",0.193620496735453
"272",8,"lagged_CHLA_28",0.200902782090296
"273",8,"lagged_EKE_28",0.206870816504399
"274",8,"lagged_ywind_28",0.206891865551016
"275",8,"lagged_SLA_28",0.204855918271629
"277",9,"lagged_SST_1",0.208276730255246
"278",9,"lagged_CHLA_1",0.208458454407982
"279",9,"lagged_EKE_1",0.208622795998842
"280",9,"lagged_ywind_1",0.208300446821394
"281",9,"lagged_SLA_1",0.208981215274693
"283",9,"lagged_SST_7",0.2060265793656
"284",9,"lagged_CHLA_7",0.207872633545502
"285",9,"lagged_EKE_7",0.208906434043548
"286",9,"lagged_ywind_7",0.208303920423067
"287",9,"lagged_SLA_7",0.210535149779937
"289",9,"lagged_SST_14",0.201242646039254
"290",9,"lagged_CHLA_14",0.207171093888699
"291",9,"lagged_EKE_14",0.208455027432601
"292",9,"lagged_ywind_14",0.208416905096083
"293",9,"lagged_SLA_14",0.210973381432395
"295",9,"lagged_SST_21",0.197377732254339
"296",9,"lagged_CHLA_21",0.206057994460939
"297",9,"lagged_EKE_21",0.208204981776374
"298",9,"lagged_ywind_21",0.208707088063835
"299",9,"lagged_SLA_21",0.211290668780262
"301",9,"lagged_SST_28",0.194479760337695
"302",9,"lagged_CHLA_28",0.205026871786845
"303",9,"lagged_EKE_28",0.208050248726582
"304",9,"lagged_ywind_28",0.208403755232245
"305",9,"lagged_SLA_28",0.211436436852653
"307",10,"lagged_SST_1",0.202182862557709
"308",10,"lagged_CHLA_1",0.202912457397009
"309",10,"lagged_EKE_1",0.202707406456276
"310",10,"lagged_ywind_1",0.20215158875168
"311",10,"lagged_SLA_1",0.203282097403997
"313",10,"lagged_SST_7",0.199367315138635
"314",10,"lagged_CHLA_7",0.201767635298273
"315",10,"lagged_EKE_7",0.202819275309956
"316",10,"lagged_ywind_7",0.201240149656646
"317",10,"lagged_SLA_7",0.204527457111508
"319",10,"lagged_SST_14",0.196980924170053
"320",10,"lagged_CHLA_14",0.200773071559827
"321",10,"lagged_EKE_14",0.202380386984696
"322",10,"lagged_ywind_14",0.201605897285773
"323",10,"lagged_SLA_14",0.203451861168986
"325",10,"lagged_SST_21",0.191732768108426
"326",10,"lagged_CHLA_21",0.199607275325825
"327",10,"lagged_EKE_21",0.202184942812113
"328",10,"lagged_ywind_21",0.201462047432998
"329",10,"lagged_SLA_21",0.201474579838459
"331",10,"lagged_SST_28",0.189705267185103
"332",10,"lagged_CHLA_28",0.199088846940587
"333",10,"lagged_EKE_28",0.20207093403269
"334",10,"lagged_ywind_28",0.201850410910264
"335",10,"lagged_SLA_28",0.200739918179558
"337",10,"lagged_SST_30",0.189613447434831
"338",10,"lagged_CHLA_30",0.198382783939277
"339",10,"lagged_EKE_30",0.201909308568832
"340",10,"lagged_ywind_30",0.201718108841816
"341",10,"lagged_SLA_30",0.200438900865653
